key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,2,FF,,7,1.47661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,106,1,0,0,response1disk,1,9,-12,6,1,0,0,rectangle,-12,6,1,0,0,,6,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-12,6,1,0,0,0,8,8,85,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,FF,,0,1.41514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,139,1,0,0,response7disk,3,10,-5,21,1,0,0,rectangle,-5,21,1,0,0,,3,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-5,21,1,0,0,0,9,9,68,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,PF,,3,1.81596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88,-132,1,0,0,response5disk,6,11,-10,-3,1,0,0,rectangle,-10,-3,1,0,0,,3,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-10,-3,1,0,0,0,10,10,144,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,PF,,4,2.33411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,-138,1,0,0,response3disk,4,12,40,4,1,0,0,rectangle,40,4,1,0,0,,7,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",40,4,1,0,0,0,11,11,139,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,5,FF,,7,2.280655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,115,1,0,0,response1disk,6,13,22,-5,1,0,0,rectangle,22,-5,1,0,0,,5,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",22,-5,1,0,0,0,12,12,12,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,PF,,0,1.267965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,159,1,0,0,response7disk,8,14,-10,14,1,0,0,rectangle,-10,14,1,0,0,,5,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-10,14,1,0,0,0,13,13,153,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,2,FF,,2,1.899015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93,-83,1,0,0,response5disk,4,15,34,8,1,0,0,rectangle,34,8,1,0,0,,0,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",34,8,1,0,0,0,14,14,145,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,FF,,2,2.9222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-119,-56,1,0,0,response5disk,2,16,-9,15,1,0,0,rectangle,-9,15,1,0,0,,5,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-9,15,1,0,0,0,15,15,93,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,6,FF,,6,4.78697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,56,1,0,0,response1disk,3,17,-2,3,1,0,0,rectangle,-2,3,1,0,0,,4,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-2,3,1,0,0,0,16,16,21,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f8846eef3c64e2b5bc33259,5fe192a66a3657c24e3ae120,2020-12-22_07h31.52.660,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,6,FF,,3,1.768555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,-110,1,0,0,response5disk,1,18,-13,-8,1,0,0,rectangle,-13,-8,1,0,0,,6,"[271,311,75,59,144,313,152,124,88,125,135,178,278,94,96,267,23,256,159,141]",-13,-8,1,0,0,0,17,17,5,1,,,,,,,,,,,,,,,,,,,,,,,
