key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Flower1,Ecc,Flower_2,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Flower2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer8,rt8,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,1,PF,3,5,7.484,94,-37,1,0,0,response3disk_5,3,-4,1,0,0,rectangle_8,3,-4,1,0,0,,,6,3,-4,1,0,0,,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,5,FF,4,7,4.275,57,96,1,0,0,response1disk_5,-6,2,1,0,0,rectangle_8,-6,2,1,0,0,,,6,-6,2,1,0,0,,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,6,FF,,6,15.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.968,107,53,1,0,0,response1disk,4,1,7,7,1,0,0,rectangle,7,7,1,0,0,,7,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",7,7,1,0,0,0,0,0,56,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,2,PF,,3,5.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24,-96,1,0,0,response5disk,5,2,-9,-2,1,0,0,rectangle,-9,-2,1,0,0,,4,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",-9,-2,1,0,0,0,1,1,147,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,8,PF,,6,5.701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,63,1,0,0,response1disk,7,3,4,6,1,0,0,rectangle,4,6,1,0,0,,1,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",4,6,1,0,0,0,2,2,23,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,4,PF,,7,2.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,97,1,0,0,response1disk,8,4,-12,3,1,0,0,rectangle,-12,3,1,0,0,,3,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",-12,3,1,0,0,0,3,3,124,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,3,FF,,4,7.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,-94,1,0,0,response3disk,4,5,10,5,1,0,0,rectangle,10,5,1,0,0,,4,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",10,5,1,0,0,0,4,4,110,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,PF,,5,6.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,-30,1,0,0,response3disk,2,6,-1,4,1,0,0,rectangle,-1,4,1,0,0,,6,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",-1,4,1,0,0,0,5,5,157,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,PF,,7,4.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,82,1,0,0,response1disk,7,7,-7,8,1,0,0,rectangle,-7,8,1,0,0,,7,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",-7,8,1,0,0,0,6,6,121,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589cc7bd8bf22a00015b7b30,5fe1920ce66d7fc125cbc35f,2020-12-22_00h31.46.743,FlowerSimilarity_Experiment,2020.1.2,Win32,60,5fe17d4a51f3a9c1a60f9869,,,,,,,,,,,,,,,,,,,9,PF,,6,4.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,35,1,0,0,response1disk,8,8,1,-11,1,0,0,rectangle,1,-11,1,0,0,,2,"[251,175,322,306,236,109,312,160,126,25,128,80,132,292,40,145,216,92,187,136]",1,-11,1,0,0,0,7,7,67,1,,,,,,,,,,,,,,,,,,,,,,,
